sales,prix,date,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_WI
130,1.25,2011-01-29,Saturday,1,1,2011,,,,,0
153,1.25,2011-01-30,Sunday,2,1,2011,,,,,0
119,1.25,2011-01-31,Monday,3,1,2011,,,,,0
80,1.25,2011-02-01,Tuesday,4,2,2011,,,,,0
80,1.25,2011-02-02,Wednesday,5,2,2011,,,,,1
128,1.25,2011-02-03,Thursday,6,2,2011,,,,,1
174,1.25,2011-02-04,Friday,7,2,2011,,,,,0
250,1.25,2011-02-05,Saturday,1,2,2011,,,,,1
228,1.25,2011-02-06,Sunday,2,2,2011,SuperBowl,Sporting,,,1
22,1.25,2011-02-07,Monday,3,2,2011,,,,,0
5,1.25,2011-02-08,Tuesday,4,2,2011,,,,,1
0,1.25,2011-02-09,Wednesday,5,2,2011,,,,,1
0,1.25,2011-02-10,Thursday,6,2,2011,,,,,0
0,1.25,2011-02-11,Friday,7,2,2011,,,,,1
0,1.25,2011-02-12,Saturday,1,2,2011,,,,,1
0,1.25,2011-02-13,Sunday,2,2,2011,,,,,0
0,1.25,2011-02-14,Monday,3,2,2011,ValentinesDay,Cultural,,,1
0,1.25,2011-02-15,Tuesday,4,2,2011,,,,,1
0,1.25,2011-02-16,Wednesday,5,2,2011,,,,,0
0,1.25,2011-02-17,Thursday,6,2,2011,,,,,0
0,1.25,2011-02-18,Friday,7,2,2011,,,,,0
0,1.25,2011-02-19,Saturday,1,2,2011,,,,,0
0,1.25,2011-02-20,Sunday,2,2,2011,,,,,0
0,1.25,2011-02-21,Monday,3,2,2011,PresidentsDay,National,,,0
0,1.25,2011-02-22,Tuesday,4,2,2011,,,,,0
0,1.25,2011-02-23,Wednesday,5,2,2011,,,,,0
0,1.25,2011-02-24,Thursday,6,2,2011,,,,,0
0,1.25,2011-02-25,Friday,7,2,2011,,,,,0
0,1.25,2011-02-26,Saturday,1,2,2011,,,,,0
0,1.25,2011-02-27,Sunday,2,2,2011,,,,,0
0,1.25,2011-02-28,Monday,3,2,2011,,,,,0
0,1.25,2011-03-01,Tuesday,4,3,2011,,,,,0
0,1.25,2011-03-02,Wednesday,5,3,2011,,,,,1
