datetime,temp,feelslike,humidity,precip,preciptype,windspeed,visibility,cloudcover,uvindex,icon
2011-01-29,-1.4,-4.8,82.4,0.403,snow,24.8,9.4,97.4,5,rain
2011-01-30,-6.0,-11.2,71.2,0.0,,19.4,14.3,53.9,5,partly-cloudy-day
2011-01-31,-7.8,-15.0,78.1,5.395,snow,28.2,7.9,99.1,2,snow
2011-02-01,-8.4,-18.0,81.3,3.913,snow,52.4,5.4,95.8,2,snow
2011-02-02,-9.4,-17.0,67.7,2.819,snow,59.7,9.6,51.9,4,snow
2011-02-03,-13.3,-18.2,55.5,0.0,,20.9,15.9,0.0,6,clear-day
2011-02-04,-8.2,-13.6,58.1,0.0,,17.4,16.0,6.7,6,clear-day
2011-02-05,-5.1,-6.6,72.9,0.0,,9.5,13.8,80.8,4,partly-cloudy-day
2011-02-06,-2.7,-4.8,88.8,2.491,"rain,snow",20.7,5.9,99.3,3,snow
2011-02-07,-5.5,-8.3,80.2,0.242,snow,13.7,12.2,98.8,5,snow
2011-02-08,-14.2,-20.9,60.9,0.0,,20.8,15.0,26.1,6,partly-cloudy-day
2011-02-09,-16.5,-23.1,55.7,0.0,,18.3,16.0,0.0,6,clear-day
2011-02-10,-17.5,-20.8,69.2,0.0,,20.2,15.7,0.0,6,clear-day
2011-02-11,-11.3,-14.3,80.1,0.242,snow,14.1,10.7,68.2,4,snow
2011-02-12,-1.9,-5.0,80.9,0.0,,18.0,14.6,49.3,4,partly-cloudy-day
2011-02-13,3.4,0.3,66.9,0.0,,20.7,16.0,0.0,6,clear-day
2011-02-14,3.2,0.3,65.9,0.0,,34.5,16.0,43.3,6,partly-cloudy-day
2011-02-15,0.7,-4.3,72.4,0.0,,35.0,14.7,37.9,4,partly-cloudy-day
2011-02-16,3.3,1.0,87.5,0.0,,19.6,5.2,39.6,3,partly-cloudy-day
2011-02-17,8.2,6.2,92.4,0.726,rain,22.5,5.1,78.7,2,rain
2011-02-18,2.2,-2.3,56.1,0.0,,28.2,15.9,2.6,6,clear-day
2011-02-19,-3.5,-7.6,60.9,0.0,,18.5,16.0,1.3,6,clear-day
2011-02-20,-1.1,-6.3,89.2,21.96,"rain,snow",34.3,7.8,94.9,2,rain
